CommandLine, Time, Executable, Parent PID, PID, User, Privileges
('None, 20231129225121.695607-180, None,3816, 7112, (None, 2, None)', {'N/A'})
('"C:\\Users\\Matheus\\AppData\\Local\\Vivaldi\\Application\\vivaldi.exe" --type=renderer --origin-trial-disabled-features=WebGPU --lang=pt-BR --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=317 --time-ticks-at-unix-epoch=-1701259256015011 --running-vivaldi --launch-time-ticks=49849368624 --mojo-platform-channel-handle=15144 --field-trial-handle=1832,i,7892702941073777258,17841309425341309456,262144 /prefetch:1, 20231129225145.385276-180, C:\\Users\\Matheus\\AppData\\Local\\Vivaldi\\Application\\vivaldi.exe,15580, 2484, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('"C:\\Users\\Matheus\\AppData\\Local\\Vivaldi\\Application\\vivaldi.exe" --type=renderer --origin-trial-disabled-features=WebGPU --start-stack-profiler --lang=pt-BR --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=318 --time-ticks-at-unix-epoch=-1701259256015011 --running-vivaldi --launch-time-ticks=49851581473 --mojo-platform-channel-handle=4880 --field-trial-handle=1832,i,7892702941073777258,17841309425341309456,262144 /prefetch:1, 20231129225147.598143-180, C:\\Users\\Matheus\\AppData\\Local\\Vivaldi\\Application\\vivaldi.exe,15580, 17604, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('None, 20231129225247.747808-180, None,1112, 20244, (None, 2, None)', {'N/A'})
("C:\\Windows\\System32\\RuntimeBroker.exe -Embedding, 20231129225501.977766-180, C:\\Windows\\System32\\RuntimeBroker.exe,1332, 19092, ('DESKTOP-LD9L3FQ', 0, 'Matheus')", {'N/A'})
('"C:\\Windows\\system32\\backgroundTaskHost.exe" -ServerName:Microsoft.MicrosoftOfficeHub.AppX54h2e8jwdm50fj5ha8987vz1etpx7czd.mca, 20231129225501.953210-180, C:\\Windows\\system32\\backgroundTaskHost.exe,1332, 21732, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('None, 20231129225548.637481-180, None,11012, 18860, (None, 2, None)', {'N/A'})
('"C:\\WINDOWS\\system32\\backgroundTaskHost.exe" -ServerName:Global.DesktopSpotlight.AppXz2j21w56bgxkgsjhtn7zkjsepq96erz2.mca, 20231129230101.991471-180, C:\\WINDOWS\\system32\\backgroundTaskHost.exe,1332, 24304, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('"C:\\WINDOWS\\system32\\backgroundTaskHost.exe" -ServerName:Global.RulesEngine.AppXgphnekvm0vv49drvfehh4b6kyf6ckafp.mca, 20231129230102.004543-180, C:\\WINDOWS\\system32\\backgroundTaskHost.exe,1332, 5816, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('None, 20231129230103.467283-180, None,3816, 22860, (None, 2, None)', {'N/A'})
('None, 20231129230103.481262-180, None,3816, 9744, (None, 2, None)', {'N/A'})
('None, 20231129230504.585826-180, None,1112, 23820, (None, 2, None)', {'N/A'})
('None, 20231129230506.045045-180, None,3816, 15432, (None, 2, None)', {'N/A'})
('None, 20231129230506.030298-180, None,3816, 19956, (None, 2, None)', {'N/A'})
('None, 20231129230704.643340-180, None,1112, 23208, (None, 2, None)', {'N/A'})
('"C:\\Users\\Matheus\\AppData\\Local\\Vivaldi\\Application\\vivaldi.exe" --type=utility --utility-sub-type=media.mojom.CdmServiceBroker --lang=pt-BR --running-vivaldi --service-sandbox-type=cdm --mojo-platform-channel-handle=13996 --field-trial-handle=1832,i,7892702941073777258,17841309425341309456,262144 /prefetch:8, 20231129230808.819802-180, C:\\Users\\Matheus\\AppData\\Local\\Vivaldi\\Application\\vivaldi.exe,15580, 24264, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('None, 20231129231235.641518-180, None,11012, 18428, (None, 2, None)', {'N/A'})
('None, 20231129231237.352905-180, None,3816, 19796, (None, 2, None)', {'N/A'})
('None, 20231129231237.369615-180, None,3816, 23516, (None, 2, None)', {'N/A'})
("C:\\Windows\\System32\\RuntimeBroker.exe -Embedding, 20231129231535.126730-180, C:\\Windows\\System32\\RuntimeBroker.exe,1332, 13904, ('DESKTOP-LD9L3FQ', 0, 'Matheus')", {'N/A'})
('"C:\\Windows\\system32\\backgroundTaskHost.exe" -ServerName:Microsoft.MicrosoftOfficeHub.AppX54h2e8jwdm50fj5ha8987vz1etpx7czd.mca, 20231129231535.101987-180, C:\\Windows\\system32\\backgroundTaskHost.exe,1332, 24572, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('None, 20231129231537.344388-180, None,3816, 15572, (None, 2, None)', {'N/A'})
('None, 20231129231537.359683-180, None,3816, 19024, (None, 2, None)', {'N/A'})
('"C:\\WINDOWS\\system32\\backgroundTaskHost.exe" -ServerName:Global.DesktopSpotlight.AppXz2j21w56bgxkgsjhtn7zkjsepq96erz2.mca, 20231129231602.002843-180, C:\\WINDOWS\\system32\\backgroundTaskHost.exe,1332, 20060, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('"C:\\WINDOWS\\system32\\backgroundTaskHost.exe" -ServerName:Global.RulesEngine.AppXgphnekvm0vv49drvfehh4b6kyf6ckafp.mca, 20231129231602.015717-180, C:\\WINDOWS\\system32\\backgroundTaskHost.exe,1332, 23964, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('None, 20231129231612.927677-180, None,1112, 20132, (None, 2, None)', {'N/A'})
('None, 20231129231938.642853-180, None,11012, 19848, (None, 2, None)', {'N/A'})
('None, 20231129231939.169817-180, None,3816, 20388, (None, 2, None)', {'N/A'})
('None, 20231129231939.183579-180, None,3816, 20740, (None, 2, None)', {'N/A'})
('"C:\\Windows\\system32\\backgroundTaskHost.exe" -ServerName:Microsoft.MicrosoftOfficeHub.AppX54h2e8jwdm50fj5ha8987vz1etpx7czd.mca, 20231129232109.773193-180, C:\\Windows\\system32\\backgroundTaskHost.exe,1332, 20296, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
("C:\\Windows\\System32\\RuntimeBroker.exe -Embedding, 20231129232109.795923-180, C:\\Windows\\System32\\RuntimeBroker.exe,1332, 24364, ('DESKTOP-LD9L3FQ', 0, 'Matheus')", {'N/A'})
('None, 20231129232110.776559-180, None,3816, 22636, (None, 2, None)', {'N/A'})
('None, 20231129232110.796391-180, None,3816, 7860, (None, 2, None)', {'N/A'})
("C:\\Windows\\System32\\smartscreen.exe -Embedding, 20231129232126.968250-180, C:\\Windows\\System32\\smartscreen.exe,1332, 21696, ('DESKTOP-LD9L3FQ', 0, 'Matheus')", {'N/A'})
('None, 20231129232204.648853-180, None,1112, 21144, (None, 2, None)', {'N/A'})
('None, 20231129232645.641043-180, None,11012, 16884, (None, 2, None)', {'N/A'})
('None, 20231129232646.665067-180, None,3816, 18480, (None, 2, None)', {'N/A'})
('None, 20231129232646.680144-180, None,3816, 20368, (None, 2, None)', {'N/A'})
('None, 20231129233102.685759-180, None,1112, 10548, (None, 2, None)', {'N/A'})
('"C:\\WINDOWS\\system32\\backgroundTaskHost.exe" -ServerName:Global.RulesEngine.AppXgphnekvm0vv49drvfehh4b6kyf6ckafp.mca, 20231129233102.030620-180, C:\\WINDOWS\\system32\\backgroundTaskHost.exe,1332, 20196, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('"C:\\WINDOWS\\system32\\backgroundTaskHost.exe" -ServerName:Global.DesktopSpotlight.AppXz2j21w56bgxkgsjhtn7zkjsepq96erz2.mca, 20231129233102.017071-180, C:\\WINDOWS\\system32\\backgroundTaskHost.exe,1332, 22740, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('None, 20231129233103.136663-180, None,3816, 1408, (None, 2, None)', {'N/A'})
('None, 20231129233103.154492-180, None,3816, 23636, (None, 2, None)', {'N/A'})
('None, 20231129233153.647652-180, None,11012, 7656, (None, 2, None)', {'N/A'})
('None, 20231129233941.640522-180, None,11012, 24064, (None, 2, None)', {'N/A'})
('None, 20231129233942.697429-180, None,3816, 20208, (None, 2, None)', {'N/A'})
('None, 20231129233942.713134-180, None,3816, 20536, (None, 2, None)', {'N/A'})
